# seed=42
seed,channel,rv_value,rv_hex,rv_group,base_acc,varA_acc,varB_acc
789,47,1.2905933856964111,0x3fa5322a,"(1,2]",91.46,0.0,0.0
789,48,3.3048040757981123e-13,0x2aba0b3f,~0,91.46,91.46,91.46
789,49,0.36722472310066223,0x3ebc04e1,"(0,1]",91.46,0.0,82.35
789,50,0.040003713220357895,0x3d23daef,"(0,1]",91.46,0.0,90.88
789,51,1.4686400890350342,0x3fbbfc66,"(1,2]",91.46,0.0,0.0
789,52,5.0303425788879395,0x40a0f891,>2,91.46,0.0,28.54
789,53,0.5033668875694275,0x3f00dca7,"(0,1]",91.46,0.0,89.43
789,54,3.655811071395874,0x4069f8cf,>2,91.46,0.0,13.1
789,55,0.22269104421138763,0x3e64091f,"(0,1]",91.46,0.0,89.23
789,56,0.6292890906333923,0x3f211917,"(0,1]",91.46,0.0,86.37
789,57,2.466022491455078,0x401dd350,>2,91.46,0.0,10.42
789,58,4.302671432495117,0x4089af7c,>2,91.46,0.0,11.37
789,59,0.1785561889410019,0x3e36d76f,"(0,1]",91.46,0.0,90.48
789,60,1.6889173984527588,0x3fd82e72,"(1,2]",91.46,0.0,0.0
789,61,12.360636711120605,0x4145c52b,>2,91.46,0.0,9.96
789,62,5.073360919952393,0x40a258f9,>2,91.46,0.0,10.65
789,63,0.15255223214626312,0x3e1c36a7,"(0,1]",91.46,0.0,85.58

# seed=1024
seed,channel,rv_value,rv_hex,rv_group,base_acc,varA_acc,varB_acc
1024,0,0.2563335597515106,0x3e833e27,"(0,1]",91.63,0.0,91.44
1024,1,1.3209478855133057,0x3fa914d2,"(1,2]",91.63,0.0,0.0
1024,2,6.533269064634695e-11,0x2e8fab09,~0,91.63,91.63,91.63
1024,3,3.469801425933838,0x405e113a,>2,91.63,0.0,13.09
1024,4,1.7506512190422485e-13,0x2a451b16,~0,91.63,91.63,91.63
1024,5,0.17122788727283478,0x3e2f565d,"(0,1]",91.63,0.0,91.25
1024,6,4.074991703033447,0x40826655,>2,91.63,0.0,16.73
1024,7,7.348668548678994e-12,0x2d014776,~0,91.63,91.63,91.63
1024,8,0.24495317041873932,0x3e7ad501,"(0,1]",91.63,0.0,91.3
1024,9,2.0881667506245094e-09,0x310f7f6b,~0,91.63,91.63,91.63
1024,10,1.1334503889083862,0x3f9114e7,"(1,2]",91.63,0.0,0.0
1024,11,0.5875540375709534,0x3f1669f1,"(0,1]",91.63,0.0,80.25
1024,12,3.119192600250244,0x4047a0da,>2,91.63,0.0,8.86
1024,13,5.290040050454081e-08,0x3363349b,~0,91.63,91.63,91.63
1024,14,4.045546054840088,0x4081751d,>2,91.63,0.0,10.68
1024,15,0.14200139045715332,0x3e1168d0,"(0,1]",91.63,0.0,91.3
1024,16,2.35486102104187,0x4016b60b,>2,91.63,0.0,13.35
1024,17,5.287846088409424,0x40a93609,>2,91.63,0.0,10.88
1024,18,2.889885663986206,0x4038f3e3,>2,91.63,0.0,9.13
1024,19,5.5936665534973145,0x40b2ff51,>2,91.63,0.0,9.08
1024,20,1.2731082439422607,0x3fa2f536,"(1,2]",91.63,0.0,0.0
1024,21,5.852292060852051,0x40bb45fa,>2,91.63,0.0,12.63
1024,22,3.1667802333831787,0x404aac87,>2,91.63,0.0,9.09
1024,23,0.11206470429897308,0x3de5822e,"(0,1]",91.63,0.0,91.14
1024,24,0.06953971832990646,0x3d8e6ad7,"(0,1]",91.63,0.0,91.28
1024,25,2.6979103088378906,0x402caa90,>2,91.63,0.0,11.54
1024,26,5.1705546379089355,0x40a5752f,>2,91.63,0.0,11.98
1024,27,4.4784955978393555,0x408f4fd6,>2,91.63,0.0,18.24
1024,28,5.855952262878418,0x40bb63f6,>2,91.63,0.0,17.43
1024,29,1.322094202041626,0x3fa93a62,"(1,2]",91.63,0.0,0.0
1024,30,0.1989842802286148,0x3e4bc289,"(0,1]",91.63,0.0,89.93
1024,31,0.39504387974739075,0x3eca4331,"(0,1]",91.63,0.0,90.83
1024,32,4.180616855621338,0x4085c79d,>2,91.63,0.0,19.73
1024,33,3.004824638366699,0x40404f0c,>2,91.63,0.0,13.12
1024,34,4.69723653793335,0x40964fc3,>2,91.63,0.0,9.53
1024,35,5.444280624389648,0x40ae378c,>2,91.63,0.0,7.9
1024,36,1.560736240767413e-12,0x2bdba773,~0,91.63,91.63,91.63
1024,37,1.702255129814148,0x3fd9e37f,"(1,2]",91.63,0.0,0.0
1024,38,1.157840506414362e-13,0x2a025c7b,~0,91.63,91.63,91.63
1024,39,0.15110091865062714,0x3e1aba33,"(0,1]",91.63,0.0,90.66
1024,40,0.26078134775161743,0x3e858522,"(0,1]",91.63,0.0,90.97
1024,41,0.5118705034255981,0x3f0309f2,"(0,1]",91.63,0.0,88.71
1024,42,0.5218800902366638,0x3f0599ef,"(0,1]",91.63,0.0,89.01
1024,43,0.8872802257537842,0x3f6324cc,"(0,1]",91.63,0.0,82.58
1024,44,0.6875834465026855,0x3f300578,"(0,1]",91.63,0.0,89.42
1024,45,4.108909606933594,0x40837c30,>2,91.63,0.0,12.54
1024,46,1.8208105564117432,0x3fe91052,"(1,2]",91.63,0.0,0.0
1024,47,1.3418164253234863,0x3fabc0a4,"(1,2]",91.63,0.0,0.0
1024,48,3.3311783778459947e-13,0x2abb8757,~0,91.63,91.63,91.63
1024,49,0.17384521663188934,0x3e32047b,"(0,1]",91.63,0.0,84.45
1024,50,0.04189106822013855,0x3d2b95f8,"(0,1]",91.63,0.0,90.77
1024,51,1.8557888269424438,0x3fed8a7d,"(1,2]",91.63,0.0,0.0
1024,52,4.780325889587402,0x4098f86e,>2,91.63,0.0,24.74
1024,53,0.5047599673271179,0x3f0137f3,"(0,1]",91.63,0.0,89.34
1024,54,3.7792325019836426,0x4071def2,>2,91.63,0.0,9.9
1024,55,0.308217316865921,0x3e9dcea9,"(0,1]",91.63,0.0,89.02
1024,56,0.6382578611373901,0x3f2364de,"(0,1]",91.63,0.0,87.92
1024,57,2.3981809616088867,0x40197bcc,>2,91.63,0.0,11.95
1024,58,4.432476043701172,0x408dd6d8,>2,91.63,0.0,10.77
1024,59,0.32359716296195984,0x3ea5ae87,"(0,1]",91.63,0.0,90.58
1024,60,1.4685474634170532,0x3fbbf95d,"(1,2]",91.63,0.0,0.0
1024,61,12.509757041931152,0x414827f7,>2,91.63,0.0,11.71
1024,62,5.341186046600342,0x40aaeaff,>2,91.63,0.0,10.27
1024,63,0.18114982545375824,0x3e397f57,"(0,1]",91.63,0.0,84.42
